repo,month,month_start,usability_issue_count
notaryproject/notation,2024-11,2024-11-01,1
openpubkey/openpubkey,2024-11,2024-11-01,0
sigstore/cosign,2024-11,2024-11-01,14
sigstore/fulcio,2024-11,2024-11-01,2
sigstore/rekor,2024-11,2024-11-01,2
Keyfactor/ejbca-ce,2024-12,2024-12-01,5
Keyfactor/signserver-ce,2024-12,2024-12-01,0
hashicorp/vault,2024-12,2024-12-01,21
notaryproject/notation,2024-12,2024-12-01,3
openpubkey/openpubkey,2024-12,2024-12-01,0
sigstore/cosign,2024-12,2024-12-01,10
sigstore/fulcio,2024-12,2024-12-01,2
sigstore/rekor,2024-12,2024-12-01,3
Keyfactor/ejbca-ce,2025-01,2025-01-01,3
Keyfactor/signserver-ce,2025-01,2025-01-01,1
hashicorp/vault,2025-01,2025-01-01,25
notaryproject/notation,2025-01,2025-01-01,6
openpubkey/openpubkey,2025-01,2025-01-01,1
sigstore/cosign,2025-01,2025-01-01,6
sigstore/fulcio,2025-01,2025-01-01,2
sigstore/rekor,2025-01,2025-01-01,2
Keyfactor/ejbca-ce,2025-02,2025-02-01,6
Keyfactor/signserver-ce,2025-02,2025-02-01,0
hashicorp/vault,2025-02,2025-02-01,28
notaryproject/notation,2025-02,2025-02-01,1
openpubkey/openpubkey,2025-02,2025-02-01,17
sigstore/cosign,2025-02,2025-02-01,2
sigstore/fulcio,2025-02,2025-02-01,3
sigstore/rekor,2025-02,2025-02-01,1
Keyfactor/ejbca-ce,2025-03,2025-03-01,4
Keyfactor/signserver-ce,2025-03,2025-03-01,0
hashicorp/vault,2025-03,2025-03-01,22
notaryproject/notation,2025-03,2025-03-01,7
openpubkey/openpubkey,2025-03,2025-03-01,11
sigstore/cosign,2025-03,2025-03-01,10
sigstore/fulcio,2025-03,2025-03-01,0
sigstore/rekor,2025-03,2025-03-01,1
Keyfactor/ejbca-ce,2025-04,2025-04-01,3
Keyfactor/signserver-ce,2025-04,2025-04-01,0
hashicorp/vault,2025-04,2025-04-01,20
notaryproject/notation,2025-04,2025-04-01,3
openpubkey/openpubkey,2025-04,2025-04-01,4
sigstore/cosign,2025-04,2025-04-01,3
sigstore/fulcio,2025-04,2025-04-01,4
sigstore/rekor,2025-04,2025-04-01,2
Keyfactor/ejbca-ce,2025-05,2025-05-01,2
Keyfactor/signserver-ce,2025-05,2025-05-01,0
hashicorp/vault,2025-05,2025-05-01,25
notaryproject/notation,2025-05,2025-05-01,0
openpubkey/openpubkey,2025-05,2025-05-01,0
sigstore/cosign,2025-05,2025-05-01,4
sigstore/fulcio,2025-05,2025-05-01,0
sigstore/rekor,2025-05,2025-05-01,0
Keyfactor/ejbca-ce,2025-06,2025-06-01,4
Keyfactor/signserver-ce,2025-06,2025-06-01,1
